# 2019 07 04 17 11 32.85  35.7055 -117.4975 11.20  0.63  0.27  0.41  0.12 103  28  13   6         9
B921 PB  2.9800 P 0.02 D  I  13.60
WRC2 CI  5.4400 P 0.06 D  I  30.20
LRL  CI  9.7100 S 0.47    I  30.10
B917 PB  6.9900 P 0.08    E  39.70
B921 PB  5.3200 S 0.24    E  13.60
CLC  CI  3.1700 P 0.06 D  I  15.20
CLC  CI  5.6800 S 0.24    E  15.20
SRT  CI  4.5200 P 0.11    E  22.80
SRT  CI  8.5100 S 0.90    E  22.80
TOW2 CI  5.2500 P 0.03 U  I  26.70
TOW2 CI  9.8800 S 1.46    E  26.70
B918 PB  4.8200 P 0.14 D  I  27.20
SLA  CI  5.2500 P 0.01    E  28.20
SLA  CI  9.1700 S 0.31    E  28.20
LRL  CI  5.3400 P 0.11    E  30.10
WRC2 CI  9.7400 S 0.40    E  30.20
MPM  CI  6.8900 P 0.09    E  39.20
MPM  CI 12.4600 S 0.94    E  39.20
B917 PB 12.0700 S 0.35    E  39.70
JRC2 CI  7.3200 P 0.05 U  I  41.60
JRC2 CI 12.7200 S 0.38    E  41.60
B916 PB  9.4800 P 0.04    E  56.20
B916 PB 16.2600 S 0.11    E  56.20
DTP  CI  9.7100 P 0.07    E  58.00
DTP  CI 16.7400 S 0.13    E  58.00
WBS  CI 10.2600 P 0.02    E  61.00
WBS  CI 17.6600 S 0.17    E  61.00
WHF  CI 12.8100 P 0.00    E  77.10
# 2019 07 04 17 11 40.16  35.7083 -117.5053  6.33  0.94  0.35  1.40  0.26  68  24  18   0        10
B921 PB  2.5200 P 0.20    E  14.00
B921 PB  4.7900 S 0.20    E  14.00
CLC  CI  2.7600 P 0.04    E  14.50
CLC  CI  5.2400 S 0.53    E  14.50
SRT  CI  4.1800 P 0.16    E  22.20
SRT  CI  8.0400 S 0.92    E  22.20
CCC  CI  8.2000 S 0.48    E  24.00
TOW2 CI  9.4100 S 1.43    E  25.90
SLA  CI  8.7800 S 0.06    E  28.50
WRC2 CI  9.1700 S 0.18    E  29.60
LRL  CI  9.2300 S 0.19    E  30.00
WVP2 CI 11.6500 S 0.10    E  38.80
B917 PB 11.6100 S 0.23    E  40.40
JRC2 CI 12.2300 S 0.13    E  40.90
B916 PB 16.1600 S 0.10    E  55.80
DTP  CI 16.3100 S 0.34    E  57.90
WBS  CI 17.2000 S 0.22    E  60.40
QSM  NN 10.9400 P 0.05    E  64.00
